STATION_ID,STATION_NAME,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE_EXP,YELLOW,PINK,ORANGE,LOCATION,LATITUDE,LONGITUDE,geometry
40510,Garfield (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.795172, -87.618327)",41.795172,-87.618327,POINT (-87.618327 41.795172)
40520,Foster (Purple Line),False,False,False,False,False,True,True,False,False,False,"(42.05416, -87.68356)",42.05416,-87.68356,POINT (-87.68356 42.05416)
40530,Diversey (Brown & Purple lines),True,False,False,False,True,False,True,False,False,False,"(41.932732, -87.653131)",41.932732,-87.653131,POINT (-87.653131 41.932732)
40540,Wilson (Red & Purple lines),True,True,False,False,False,False,True,False,False,False,"(41.964273, -87.657588)",41.964273,-87.657588,POINT (-87.657588 41.964273)
40550,Irving Park (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.952925, -87.729229)",41.952925,-87.729229,POINT (-87.729229 41.952925)
40560,Jackson (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",41.878153,-87.627596,POINT (-87.627596 41.878153)
40570,California (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.921939, -87.69689)",41.921939,-87.69689,POINT (-87.69689 41.921939)
40580,54th/Cermak (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.85177331, -87.75669201)",41.85177331,-87.75669201,POINT (-87.75669201 41.85177331)
40590,Damen (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.909744, -87.677437)",41.909744,-87.677437,POINT (-87.677437 41.909744)
40600,Kostner (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.853751, -87.733258)",41.853751,-87.733258,POINT (-87.733258 41.853751)
40610,Ridgeland (Green Line),False,False,False,True,False,False,False,False,False,False,"(41.887159, -87.783661)",41.887159,-87.783661,POINT (-87.783661 41.887159)
40630,Clark/Division (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.90392, -87.631412)",41.90392,-87.631412,POINT (-87.631412 41.90392)
40650,North/Clybourn (Red Line),False,True,False,False,False,False,False,False,False,False,"(41.910655, -87.649177)",41.910655,-87.649177,POINT (-87.649177 41.910655)
40660,Armitage (Brown & Purple lines),True,False,False,False,True,False,True,False,False,False,"(41.918217, -87.652644)",41.918217,-87.652644,POINT (-87.652644 41.918217)
40670,Western (Blue Line - O'Hare Branch),True,False,True,False,False,False,False,False,False,False,"(41.916157, -87.687364)",41.916157,-87.687364,POINT (-87.687364 41.916157)
40680,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",False,False,False,True,True,False,True,False,True,True,"(41.879507, -87.626037)",41.879507,-87.626037,POINT (-87.626037 41.879507)
40690,Dempster (Purple Line),False,False,False,False,False,True,True,False,False,False,"(42.041655, -87.681602)",42.041655,-87.681602,POINT (-87.681602 42.041655)
40700,Laramie (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.887163, -87.754986)",41.887163,-87.754986,POINT (-87.754986 41.887163)
40710,Chicago (Brown & Purple lines),True,False,False,False,True,False,True,False,False,False,"(41.89681, -87.635924)",41.89681,-87.635924,POINT (-87.635924 41.89681)
40720,Cottage Grove (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.780309, -87.605857)",41.780309,-87.605857,POINT (-87.605857 41.780309)
40730,"Washington/Wells (Brown, Orange, Purple & Pink lines)",True,False,False,False,True,False,True,False,True,True,"(41.882695, -87.63378)",41.882695,-87.63378,POINT (-87.63378 41.882695)
40740,Western (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.854225, -87.685129)",41.854225,-87.685129,POINT (-87.685129 41.854225)
40750,Harlem (Blue Line - O'Hare Branch),True,False,True,False,False,False,False,False,False,False,"(41.98227, -87.8089)",41.98227,-87.8089,POINT (-87.8089 41.98227)
40760,Granville (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.993664, -87.659202)",41.993664,-87.659202,POINT (-87.659202 41.993664)
40770,Lawrence (Red Line),False,True,False,False,False,False,False,False,False,False,"(41.969139, -87.658493)",41.969139,-87.658493,POINT (-87.658493 41.969139)
40780,Central Park (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.853839, -87.714842)",41.853839,-87.714842,POINT (-87.714842 41.853839)
40790,Monroe (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.880703, -87.629378)",41.880703,-87.629378,POINT (-87.629378 41.880703)
40800,Sedgwick (Brown & Purple lines),True,False,False,False,True,False,True,False,False,False,"(41.910409, -87.639302)",41.910409,-87.639302,POINT (-87.639302 41.910409)
40810,Illinois Medical District (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.875706, -87.673932)",41.875706,-87.673932,POINT (-87.673932 41.875706)
40820,Rosemont (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.983507, -87.859388)",41.983507,-87.859388,POINT (-87.859388 41.983507)
40830,18th (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.857908, -87.669147)",41.857908,-87.669147,POINT (-87.669147 41.857908)
40840,South Boulevard (Purple Line),False,False,False,False,False,True,True,False,False,False,"(42.027612, -87.678329)",42.027612,-87.678329,POINT (-87.678329 42.027612)
40850,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",True,False,False,False,True,False,True,False,True,True,"(41.876862, -87.628196)",41.876862,-87.628196,POINT (-87.628196 41.876862)
40870,Francisco (Brown Line),True,False,False,False,True,False,False,False,False,False,"(41.966046, -87.701644)",41.966046,-87.701644,POINT (-87.701644 41.966046)
40880,Thorndale (Red Line),False,True,False,False,False,False,False,False,False,False,"(41.990259, -87.659076)",41.990259,-87.659076,POINT (-87.659076 41.990259)
40890,O'Hare (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.97766526, -87.90422307)",41.97766526,-87.90422307,POINT (-87.90422307 41.97766526)
40900,"Howard (Red, Purple & Yellow lines)",True,True,False,False,False,True,True,True,False,False,"(42.019063, -87.672892)",42.019063,-87.672892,POINT (-87.672892 42.019063)
40910,63rd (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.780536, -87.630952)",41.780536,-87.630952,POINT (-87.630952 41.780536)
40920,Pulaski (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.873797, -87.725663)",41.873797,-87.725663,POINT (-87.725663 41.873797)
40930,Midway (Orange Line),True,False,False,False,False,False,False,False,False,True,"(41.78661, -87.737875)",41.78661,-87.737875,POINT (-87.737875 41.78661)
40940,Halsted (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.778943, -87.644244)",41.778943,-87.644244,POINT (-87.644244 41.778943)
40960,Pulaski (Orange Line),True,False,False,False,False,False,False,False,False,True,"(41.799756, -87.724493)",41.799756,-87.724493,POINT (-87.724493 41.799756)
40970,Cicero (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.871574, -87.745154)",41.871574,-87.745154,POINT (-87.745154 41.871574)
40980,Harlem (Blue Line - Forest Park Branch),False,False,True,False,False,False,False,False,False,False,"(41.87349, -87.806961)",41.87349,-87.806961,POINT (-87.806961 41.87349)
40990,69th (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.768367, -87.625724)",41.768367,-87.625724,POINT (-87.625724 41.768367)
41000,Cermak-Chinatown (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.853206, -87.630968)",41.853206,-87.630968,POINT (-87.630968 41.853206)
41010,Rockwell (Brown Line),True,False,False,False,True,False,False,False,False,False,"(41.966115, -87.6941)",41.966115,-87.6941,POINT (-87.6941 41.966115)
